"Name","Color (Hex Code)","Catalog Code"
"?", #007EBA, 3900
"?", #0082C4, 3901
"?", #006CA5, 3902
"?", #4ABDF0, 3910
"?", #86AACA, 3951
"?", #697698, 3953
"?", #A6D8F6, 3962
"?", #E1E1E1, 3971
"?", #0093B9, 4010
"?", #507793, 4032
"?", #265674, 4033
"?", #EAF0F9, 4071
"?", #838689, 4073
"?", #2DB0CF, 4101
"?", #0095C6, 4103
"?", #00A4D9, 4111
"?", #00A9C9, 4113
"?", #0082AD, 4116
"?", #00405D, 4133
"?", #192024, 4174 /* TODO: duplicate case value */
"?", #4FB4CB, 4220
"?", #8DCEE4, 4230
"?", #8DCDDB, 4240
"?", #D5EBF2, 4250
"?", #007B8D, 4410
"?", #0091A5, 4421
"?", #007D8C, 4423
"?", #007986, 4425
"?", #5FBFD1, 4430
"?", #006981, 4442
"?", #007F92, 4452
"?", #002F38, 4515
"?", #007389, 4531
"?", #007B8D, 4610 /* TODO: duplicate case value */
"?", #00A3A0, 4620
"?", #0B7F85, 4625
"?", #005B63, 4643
"?", #234544, 4644
"?", #005B63, 5005 /* TODO: duplicate case value */
"?", #00A6AD, 5010
"?", #B4DCD8, 5050
"?", #00876E, 5100
"?", #009084, 5101
"?", #48BAB7, 5115
"?", #00AF8C, 5210
"?", #8CCCC2, 5220
"?", #47B9AE, 5230
"?", #197E6D, 5233
"?", #006E42, 5324
"?", #004D3D, 5326
"?", #002F38, 5335 /* TODO: duplicate case value */
"?", #002D1F, 5374
"?", #008663, 5411
"?", #006B4E, 5415
"?", #008663, 5422 /* TODO: duplicate case value */
"?", #52BA84, 5500
"?", #14A363, 5510
"?", #007848, 5513
"?", #008663, 5515 /* TODO: duplicate case value */
"?", #52A04F, 5531
"?", #94ADA1, 5552
"?", #103828, 5555
"?", #85C875, 5610
"?", #14B26D, 5613
"?", #1A781E, 5633
"?", #157436, 5643
"?", #C9E3C5, 5650
"?", #6B9181, 5664
"?", #A5C278, 5822
"?", #70953F, 5833
"?", #273014, 5866
"?", #81C750, 5912
"?", #457021, 5933
"?", #506702, 5934
"?", #BBDB41, 5940
"?", #003518, 5944
"?", #E3EB00, 6010
"?", #BED782, 6051
"?", #919600, 6133
"?", #484601, 6156
